Time(Iteration),Random,LinUCB,LinPHE,ThompsonSampling
1000,964,935,964,945
2000,1922,1877,1910,1859
3000,2881,2807,2844,2746
4000,3850,3713,3747,3626
5000,4813,4605,4652,4505
6000,5776,5500,5545,5340
7000,6723,6373,6422,6177
8000,7679,7233,7304,7026
9000,8647,8080,8173,7838
10000,9600,8915,9039,8671
11000,10570,9760,9929,9486
12000,11531,10573,10763,10262
13000,12490,11413,11616,11058
14000,13454,12228,12449,11809
15000,14418,13038,13294,12613
16000,15373,13838,14084,13401
17000,16325,14645,14898,14162
18000,17286,15459,15691,14946
19000,18248,16270,16486,15721
20000,19208,17041,17267,16468
21000,20165,17816,18050,17208
22000,21134,18590,18822,17944
23000,22089,19333,19603,18702
24000,23051,20101,20395,19440
25000,23996,20877,21144,20166
26000,24940,21660,21918,20917
27000,25899,22432,22674,21658
28000,26860,23205,23449,22400
29000,27825,23950,24194,23116
30000,28796,24709,24967,23836
31000,29762,25465,25729,24569
32000,30726,26244,26506,25316
33000,31682,26984,27258,26034
34000,32647,27714,27989,26751
35000,33619,28452,28726,27472
36000,34583,29167,29445,28163
37000,35550,29934,30203,28903
38000,36514,30677,30942,29621
39000,37470,31391,31668,30334
40000,38438,32089,32366,30987
41000,39401,32810,33103,31686
42000,40364,33553,33851,32400
43000,41325,34288,34580,33112
44000,42288,34995,35303,33790
45000,43235,35710,36022,34470
46000,44194,36438,36751,35179
47000,45153,37174,37469,35879
48000,46120,37888,38205,36573
49000,47077,38613,38897,37251
50000,48037,39326,39611,37945
51000,48995,40004,40312,38625
52000,49949,40712,41024,39304
53000,50912,41411,41741,39980
54000,51875,42116,42441,40665
55000,52834,42807,43135,41331
56000,53794,43535,43868,42012
57000,54761,44243,44568,42701
58000,55719,44928,45260,43372
59000,56677,45609,45948,44038
60000,57631,46305,46668,44726
61000,58591,46987,47367,45401
62000,59546,47671,48059,46068
63000,60503,48340,48730,46719
64000,61475,49023,49411,47362
65000,62419,49696,50094,48010
66000,63381,50395,50800,48687
67000,64340,51095,51504,49358
68000,65303,51765,52181,50010
69000,66265,52471,52894,50678
70000,67225,53171,53584,51350
71000,68185,53820,54237,51989
72000,69146,54506,54927,52652
73000,70110,55161,55591,53303
74000,71070,55846,56259,53949
75000,72029,56509,56940,54603
76000,72987,57171,57589,55276
77000,73953,57863,58278,55928
78000,74911,58533,58959,56559
79000,75862,59236,59679,57236
80000,76826,59907,60357,57881
81000,77795,60554,61028,58503
82000,78750,61222,61729,59149
83000,79716,61879,62376,59803
84000,80677,62558,63061,60448
85000,81639,63198,63694,61067
86000,82599,63866,64360,61701
87000,83559,64525,65016,62351
88000,84531,65162,65647,62954
89000,85496,65801,66293,63582
90000,86458,66449,66954,64227
91000,87419,67129,67648,64881
92000,88385,67769,68280,65501
93000,89340,68434,68939,66157
94000,90298,69087,69598,66788
95000,91266,69729,70241,67422
96000,92222,70383,70895,68075
