Time(Iteration),Random,NeuralUCB
1000,955,926
2000,1920,1835
3000,2869,2740
4000,3830,3618
5000,4784,4500
6000,5744,5341
7000,6706,6175
8000,7662,7035
9000,8636,7876
10000,9603,8709
11000,10570,9538
12000,11537,10359
13000,12493,11175
14000,13452,11980
15000,14416,12799
16000,15375,13608
17000,16326,14418
18000,17293,15220
19000,18256,16004
20000,19217,16800
21000,20169,17574
22000,21124,18347
23000,22084,19117
24000,23043,19892
25000,24002,20663
26000,24962,21447
27000,25922,22222
28000,26890,23006
29000,27843,23772
30000,28792,24532
31000,29730,25282
32000,30692,26049
33000,31657,26798
34000,32614,27527
35000,33566,28275
36000,34532,29030
37000,35490,29792
38000,36457,30525
39000,37414,31265
40000,38379,31982
41000,39342,32733
42000,40304,33481
43000,41256,34231
44000,42211,34963
45000,43176,35684
46000,44140,36406
47000,45102,37155
48000,46063,37871
49000,47024,38598
50000,47980,39333
