Time(Iteration),Random,NeuralUCB,NeuralUCB_time
1000,950,941,76.49328184127808
2000,1902,1859,211.92196321487427
3000,2870,2745,399.14975476264954
4000,3819,3611,618.5775334835052
5000,4765,4490,852.023353099823
6000,5714,5327,1097.2312631607056
7000,6674,6172,1371.1028726100922
8000,7645,7018,1626.6941630840302
9000,8614,7818,1722.4349477291107
10000,9572,8646,1824.9886510372162
11000,10528,9459,2128.546199798584
12000,11495,10249,2477.5438022613525
13000,12457,11031,2828.4247374534607
14000,13431,11803,3180.2848496437073
15000,14392,12606,3541.062411546707
16000,15351,13392,3895.8961565494537
17000,16301,14161,4247.395212173462
18000,17259,14922,4609.30241560936
19000,18226,15671,4972.67733001709
20000,19178,16399,5344.680067777634
21000,20138,17135,5705.40363574028
22000,21103,17872,6073.708491802216
23000,22059,18602,6457.408140420914
24000,23030,19331,6769.623686790466
25000,23994,20068,7124.865581989288
26000,24950,20813,7443.848027944565
27000,25917,21550,7825.189516067505
28000,26892,22283,8192.045058727264
29000,27863,23011,8571.391175746918
30000,28828,23708,8970.969476222992
31000,29794,24419,9357.829500198364
32000,30760,25116,9704.0943171978
33000,31724,25795,10024.563568115234
34000,32689,26487,10328.534240484238
35000,33649,27204,10660.024238824844
36000,34607,27876,11024.29352593422
37000,35560,28613,11385.026071310043
38000,36506,29290,11666.091218233109
39000,37454,29977,11920.84654211998
40000,38414,30637,12170.465449094772
41000,39377,31317,12500.33473777771
42000,40322,32007,12875.949653148651
43000,41277,32690,13221.803487062454
44000,42232,33373,13610.366122245789
45000,43183,34053,13972.778674125671
46000,44150,34726,14355.115993022919
47000,45108,35407,14620.082481145859
48000,46064,36071,14848.564972400665
49000,47014,36750,15203.549726247787
50000,47967,37429,15509.351799249649
51000,48931,38084,15843.344670057297
52000,49909,38770,16128.794771194458
53000,50866,39434,16479.762382030487
54000,51825,40119,16833.351305246353
55000,52789,40767,17210.0741815567
56000,53757,41419,17583.372229337692
57000,54722,42079,17997.344711065292
58000,55683,42735,18417.79235482216
59000,56648,43384,18840.06492304802
60000,57609,44038,19249.079596996307
61000,58567,44669,19663.470947027206
62000,59541,45341,20081.872473478317
63000,60499,45956,20478.696238040924
64000,61451,46582,20896.02631664276
65000,62401,47192,21321.122297286987
66000,63363,47882,21738.6422123909
67000,64326,48539,22145.78912472725
68000,65286,49147,22555.487797498703
69000,66249,49797,22969.05998635292
70000,67209,50446,23389.89879322052
71000,68172,51070,23817.211791038513
72000,69132,51721,24203.824283599854
73000,70092,52375,24618.44443321228
74000,71052,53009,25032.749239206314
75000,72005,53616,25453.999124526978
76000,72976,54242,25878.285399913788
77000,73934,54898,26307.629880666733
78000,74902,55542,26736.33673429489
79000,75869,56193,27159.233897447586
80000,76847,56838,27583.009310483932
81000,77797,57458,28001.222848653793
82000,78758,58087,28425.02120065689
83000,79723,58708,28733.82343006134
84000,80663,59334,29161.82785153389
85000,81630,59945,29602.715221881866
86000,82593,60564,30025.451990365982
87000,83544,61173,30459.328925848007
88000,84509,61771,30894.219276428223
89000,85455,62360,31332.921048879623
90000,86418,62956,31768.603579759598
91000,87370,63571,32200.315400600433
92000,88331,64164,32644.539477348328
93000,89292,64770,33080.07676625252
94000,90241,65376,33514.486827135086
95000,91201,65977,33951.721089839935
96000,92164,66584,34365.54072594643
