Time(Iteration),Random,NeuralPHE,NeuralPHE_time 500 1e-3
1000,963,943,47.65911078453064
2000,1911,1872,144.70226502418518
3000,2867,2761,299.13418197631836
4000,3832,3664,485.30542826652527
5000,4797,4546,676.786856174469
6000,5774,5428,894.983996629715
7000,6728,6268,1131.076090812683
8000,7685,7127,1390.7766346931458
9000,8638,7974,1646.0259063243866
10000,9588,8820,1926.70370054245
11000,10547,9648,2209.798588991165
12000,11516,10485,2503.8637368679047
13000,12482,11300,2793.145257472992
14000,13432,12097,3098.861639022827
15000,14399,12917,3389.2605855464935
16000,15353,13722,3692.887615442276
17000,16310,14533,3992.567050933838
