Time(Iteration),Random,LinUCB,LinUCB_time 0.5 0.5
1000,963,956,0.40348172187805176
2000,1917,1893,0.6919517517089844
3000,2881,2813,1.2530057430267334
4000,3851,3696,1.5706169605255127
5000,4805,4592,1.9422547817230225
6000,5772,5472,2.2298474311828613
7000,6733,6346,2.6466526985168457
8000,7696,7225,3.023089647293091
9000,8660,8092,3.367138147354126
10000,9623,8950,3.8167574405670166
11000,10574,9807,4.245207071304321
12000,11529,10641,4.637124538421631
13000,12483,11479,5.072591543197632
14000,13454,12287,5.497145175933838
15000,14399,13120,5.908482789993286
16000,15354,13930,6.260038614273071
17000,16319,14743,6.646472454071045
18000,17285,15567,7.187191486358643
19000,18245,16364,7.536984205245972
20000,19203,17158,7.915836811065674
21000,20165,17936,8.386298894882202
22000,21117,18718,8.677432775497437
23000,22081,19478,9.216665029525757
24000,23039,20244,9.529285430908203
25000,24007,21024,9.93301248550415
26000,24973,21823,10.538461923599243
27000,25938,22603,10.90148138999939
28000,26890,23372,11.258284091949463
29000,27851,24133,11.799015998840332
30000,28814,24882,12.259405136108398
31000,29776,25650,12.585285425186157
32000,30739,26411,13.052229166030884
33000,31699,27155,13.480011224746704
34000,32661,27892,13.789852619171143
35000,33630,28648,14.229687452316284
36000,34596,29393,14.59089708328247
37000,35567,30157,15.013061046600342
38000,36529,30906,15.459025382995605
39000,37503,31616,15.821092128753662
40000,38456,32317,16.28853130340576
41000,39424,33035,16.62579846382141
42000,40392,33753,17.075338125228882
43000,41356,34499,17.436579704284668
44000,42313,35229,17.846837043762207
45000,43265,35941,18.205004453659058
46000,44235,36645,18.602215051651
47000,45191,37384,18.8636531829834
48000,46153,38098,19.40835452079773
49000,47108,38804,19.862595319747925
50000,48059,39531,20.331463098526
51000,49013,40216,20.787112712860107
52000,49972,40953,21.28458571434021
53000,50929,41658,21.788474082946777
54000,51884,42365,22.206748008728027
55000,52852,43081,22.54761576652527
56000,53806,43809,22.90691113471985
57000,54767,44514,23.400569438934326
58000,55720,45207,23.81802773475647
59000,56680,45891,24.14916467666626
60000,57640,46602,24.623157501220703
61000,58591,47304,24.924601316452026
62000,59557,48011,25.37056255340576
63000,60520,48674,25.84621500968933
64000,61482,49371,26.075870275497437
65000,62447,50058,26.546828031539917
66000,63421,50769,26.865943431854248
67000,64378,51485,27.297269582748413
68000,65334,52181,27.737311124801636
69000,66291,52878,28.053789377212524
70000,67243,53579,28.50777316093445
71000,68201,54238,28.85328245162964
72000,69166,54939,29.33670711517334
73000,70128,55621,29.856664657592773
74000,71092,56311,30.198391437530518
75000,72043,56973,30.795422315597534
76000,73013,57634,31.223658561706543
77000,73972,58322,31.647347927093506
78000,74939,59004,32.0010027885437
79000,75899,59715,32.34312915802002
80000,76849,60397,32.74892997741699
81000,77810,61067,33.18623876571655
82000,78774,61759,33.698793172836304
83000,79737,62418,34.13069820404053
84000,80698,63090,34.544291496276855
85000,81660,63745,34.9637405872345
86000,82629,64420,35.36846327781677
87000,83585,65092,35.753905057907104
88000,84541,65729,36.204833030700684
89000,85506,66384,36.60452151298523
90000,86471,67056,37.01527261734009
91000,87426,67765,37.47086977958679
92000,88390,68407,37.98243165016174
93000,89346,69083,38.417415142059326
94000,90296,69742,38.895984411239624
95000,91265,70388,39.42953896522522
96000,92228,71063,39.76069760322571
