Time(Iteration),Random,NeuralPHE,NeuralPHE_time
1000,965,940,13.392795324325562
2000,1923,1855,37.37636113166809
3000,2886,2759,70.16271328926086
4000,3849,3631,111.81188607215881
5000,4803,4486,159.88014888763428
6000,5764,5332,212.75827360153198
7000,6725,6175,267.2085347175598
8000,7681,7004,322.6190896034241
9000,8637,7805,381.55560421943665
10000,9603,8602,443.79034328460693
11000,10558,9408,508.2173488140106
12000,11518,10222,573.6133859157562
13000,12476,10998,637.740433216095
14000,13435,11761,720.0938301086426
15000,14387,12547,794.6884715557098
16000,15348,13311,861.008623123169
17000,16312,14099,928.2990996837616
18000,17268,14848,1001.0508768558502
19000,18229,15580,1072.5103828907013
20000,19195,16320,1143.4278872013092
21000,20144,17059,1215.9792623519897
22000,21103,17787,1288.3956534862518
23000,22057,18486,1363.6770868301392
24000,23020,19209,1438.688240289688
25000,23981,19914,1515.4651732444763
26000,24936,20631,1591.3919570446014
27000,25903,21340,1670.5403559207916
28000,26864,22061,1747.8799936771393
29000,27820,22743,1827.9077336788177
30000,28786,23434,1908.1240284442902
31000,29746,24138,1986.9420323371887
32000,30702,24862,2065.7352900505066
33000,31656,25553,2146.0572044849396
34000,32621,26248,2224.191921234131
35000,33584,26931,2304.716830968857
36000,34542,27604,2385.9483942985535
37000,35505,28302,2466.588888168335
38000,36463,28989,2547.9932069778442
39000,37410,29647,2631.865371465683
40000,38374,30293,2713.284072637558
41000,39339,30977,2794.630512237549
42000,40298,31654,2874.56613612175
43000,41262,32320,2954.4276525974274
44000,42224,32956,3036.48251748085
45000,43173,33617,3117.0598618984222
46000,44140,34285,3201.2323105335236
47000,45108,34940,3281.040096759796
48000,46069,35571,3370.842883348465
49000,47035,36202,3456.923591375351
50000,47996,36850,3542.3925170898438
51000,48949,37483,3626.8062994480133
52000,49911,38139,3708.7226762771606
53000,50875,38783,3794.301515817642
54000,51840,39422,3879.100684404373
55000,52806,40058,3965.1344525814056
56000,53776,40667,4051.3257195949554
57000,54732,41299,4137.849917650223
58000,55681,41917,4225.12687253952
59000,56641,42554,4313.112519025803
60000,57593,43196,4399.511508226395
61000,58554,43812,4485.051433801651
62000,59514,44453,4571.913064002991
63000,60474,45063,4658.7495658397675
64000,61437,45669,4745.2994120121
65000,62411,46296,4833.086269855499
66000,63370,46945,4918.910156965256
67000,64323,47571,5004.854631900787
68000,65283,48163,5094.041594743729
69000,66242,48769,5181.838698148727
70000,67199,49395,5269.0874235630035
71000,68169,49985,5357.564773321152
72000,69132,50601,5443.793132543564
73000,70090,51209,5531.057105064392
74000,71045,51835,5619.230329275131
75000,72001,52435,5706.904454946518
76000,72972,53041,5795.549530744553
77000,73935,53683,5881.874746799469
78000,74901,54285,5968.097434282303
79000,75853,54918,6054.141343593597
80000,76818,55528,6140.711821317673
81000,77784,56128,6229.2972893714905
82000,78747,56727,6319.983414173126
83000,79700,57320,6409.374715328217
84000,80654,57897,6497.133517026901
85000,81623,58472,6586.0612325668335
86000,82580,59066,6675.103424549103
87000,83540,59657,6766.175961971283
88000,84489,60221,6854.335097074509
89000,85440,60771,6944.195698261261
90000,86402,61348,7033.763984918594
91000,87367,61944,7123.140232086182
92000,88327,62512,7218.0711369514465
93000,89294,63076,7310.633656024933
94000,90248,63645,7406.080120801926
95000,91217,64200,7499.432288646698
96000,92175,64776,7590.9475910663605
