dimension: 50,n_users: 2100,parameters: {'Theta': True, 'CoTheta': False, 'W': False, 'V': False},alpha: 0.01,lambda_: 0.1,path: ./Dataset/hetrec2011-lastfm-2k/lastfm_user_emd_25_new,hidden_layers: [100],learning_rate: 0.01,learning_rate_decay: 0.97
Time(Iteration),Random,CNeuralUCB,CNeuralUCB_time
1000,967,851,19.911818742752075
2000,1935,1701,107.3209936618805
3000,2901,2534,313.9208245277405
4000,3857,3330,647.5440356731415
5000,4815,4129,1571.795844078064
6000,5779,4916,3674.440759897232
7000,6729,5681,8778.888047218323
8000,7688,6478,17627.93286705017
9000,8648,7253,28255.254257917404
10000,9606,8033,40352.39134120941
